feature,importance
partnership_run_rate,167993.170141786
partnership_stability,54112.03899915502
rr_acceleration,35965.29326448356
runs_so_far,33700.3078463681
batsman_rpb_ema_short,30002.403396326747
balls_elapsed,28842.12871219664
wickets_so_far,25573.38315860458
batsman_dot_pct_ema_short,25433.788115634718
batsman_boundary_pct_ema_short,24942.458631097143
runs_last_5_overs,23928.531847625964
batsman_career_balls,22223.57386424943
current_run_rate,19359.088696220955
momentum_differential,19228.56290443978
bowler_econ_ema_short,18935.889508748744
bowler_dot_pct_ema_short,18904.15561167046
batsman_dot_pct_ema_medium,17708.33888777474
batsman_rpb_ema_long,17359.87524109636
batsman_boundary_pct_ema_medium,17261.121457241035
bowler_wicket_rate_ema_medium,16739.566049386653
venue_season_rpb_volatility,16321.169825805355
batsman_rpb_ema_medium,15928.341252367001
bowler_wicket_rate_ema_short,15804.992805798141
bowler_econ_ema_long,15364.43698886177
bowler_dot_pct_ema_medium,15296.649779577889
bowler_econ_ema_medium,14939.397216043672
over,14445.657939535311
bowler_career_balls,13676.302806378386
bowler_maturity,13141.613100868146
venue_evolution_runs,12639.103188067606
venue_evolution_wickets,12358.351330685808
venue_season_avg_rpb,11473.943721316784
runs_last_3_overs,11451.381900223887
venue_season_wicket_rate,11268.611427545296
wickets_last_3_overs,10263.473487027222
venue_season_boundary_rate,9110.906668000429
dots_last_10_balls,8875.352301266756
required_run_rate,8645.062648493598
balls_remaining,8093.330784306945
ball_in_over,8037.8371316907
batsman_sr_ema_short,7549.017220095535
wickets_remaining,7299.819619798928
run_rate_pressure,6666.446068365078
boundaries_last_10_balls,6002.453883241419
pressure_index,5974.134370189247
bowler_overs_bowled,5380.245800298245
batsman_maturity,5202.481283026009
rr_last_5_overs,4387.596500750174
batsman_sr_ema_long,3000.3874660636793
is_modern_cricket,2937.3770997822285
batsman_sr_ema_medium,2485.920675467758
batsman_is_settled,2253.1999104072165
rr_last_3_overs,1837.8484931005514
is_middle_over,1520.6636494151026
is_powerplay,857.3758463040867
batsman_form_score,760.8901463279035
batsman_days_since_last_match,730.0631644978421
bowler_form_score,597.2791002225131
bowler_is_fatigued,575.345693025738
late_in_over,560.7390537638166
bowler_days_since_last_match,371.66212424974765
bowler_workload_30d,360.4067053772742
is_death_over,196.3619209229946
batsman_rest_quality,133.39878142252564
inning,92.64119458198547
bowler_rest_quality,80.23908790200949
batsman_workload_30d,53.94730827957392
