feature,importance
over,50490.50160638441
balls_elapsed,14348.444308072998
ball_in_over,1555.5178371883144
balls_remaining,1553.457755696727
pressure_index,444.55606858368265
inning,442.20978508144617
required_run_rate,309.1492287394358
wickets_so_far,161.7106201669667
run_rate_pressure,157.26058250758797
momentum_differential,117.54098622963647
late_in_over,110.4564380645752
current_run_rate,101.73861954174936
bowler_overs_bowled,92.77999622002244
runs_so_far,76.73905085900333
partnership_stability,61.38715480596875
venue_season_avg_rpb,39.497791403438896
bowler_career_balls,29.45937189135293
batsman_career_balls,27.202783975575585
wickets_remaining,26.43477912573144
venue_season_wicket_rate,22.769438101219237
runs_last_5_overs,22.229555257654283
venue_evolution_wickets,22.145069324644282
venue_season_boundary_rate,19.27100326726213
venue_season_rpb_volatility,18.046440151520073
venue_evolution_runs,17.926437415881082
batsman_rpb_ema_long,17.453593574929982
bowler_maturity,15.243597341264831
runs_last_3_overs,13.661343658110127
bowler_econ_ema_long,13.40598258888349
rr_acceleration,13.30934948315371
bowler_wicket_rate_ema_medium,11.1850646963685
bowler_wicket_rate_ema_short,10.956250301678665
batsman_dot_pct_ema_medium,10.904764737351798
partnership_run_rate,10.70545645058155
batsman_rpb_ema_medium,9.388532713986933
wickets_last_3_overs,9.11279271170497
batsman_maturity,9.10919919796288
bowler_econ_ema_medium,8.79357000539494
is_middle_over,8.741712063550949
batsman_rpb_ema_short,8.651166940806434
batsman_boundary_pct_ema_medium,8.223680653609335
rr_last_5_overs,7.748978610150516
bowler_econ_ema_short,7.23680113645969
bowler_dot_pct_ema_short,6.725583048756562
dots_last_10_balls,6.417485928861424
bowler_dot_pct_ema_medium,6.177171013550833
batsman_dot_pct_ema_short,5.869177031097934
batsman_boundary_pct_ema_short,4.585569631308317
rr_last_3_overs,3.6146967461463646
boundaries_last_10_balls,3.3975175144150853
batsman_sr_ema_long,2.4579895986244082
batsman_sr_ema_short,1.5017930045723915
batsman_sr_ema_medium,1.370440410450101
batsman_form_score,0.794866606593132
batsman_is_settled,0.4136279970407486
batsman_days_since_last_match,0.3250935021787882
batsman_workload_30d,0.1351500004529953
bowler_workload_30d,0.09419039636850357
bowler_days_since_last_match,0.015915699303150177
bowler_rest_quality,0.0
bowler_form_score,0.0
is_modern_cricket,0.0
is_death_over,0.0
is_powerplay,0.0
batsman_rest_quality,0.0
bowler_is_fatigued,0.0
