feature,importance
wickets_so_far,25116.267944335938
balls_elapsed,16026.050889015198
partnership_run_rate,7941.046005249023
partnership_stability,7435.98893737793
wickets_last_3_overs,7030.200638771057
batsman_rpb_ema_short,2425.4335174560547
rr_acceleration,1264.1519775390625
batsman_rpb_ema_medium,801.8313140869141
batsman_boundary_pct_ema_short,754.4470901489258
batsman_dot_pct_ema_short,527.6799011230469
pressure_index,324.7654037475586
current_run_rate,313.27349853515625
runs_last_5_overs,282.0329895019531
batsman_days_since_last_match,270.48899841308594
bowler_econ_ema_short,269.6419982910156
runs_last_3_overs,263.4449996948242
batsman_maturity,256.4229049682617
required_run_rate,249.89999389648438
batsman_career_balls,172.54301643371582
venue_season_wicket_rate,167.76790618896484
bowler_career_balls,156.75499725341797
boundaries_last_10_balls,123.78600311279297
bowler_econ_ema_long,94.68699645996094
batsman_dot_pct_ema_medium,78.52629852294922
batsman_rpb_ema_long,73.74479675292969
batsman_boundary_pct_ema_medium,43.12895917892456
ball_in_over,0.0
over,0.0
is_middle_over,0.0
run_rate_pressure,0.0
runs_so_far,0.0
balls_remaining,0.0
inning,0.0
is_powerplay,0.0
bowler_form_score,0.0
batsman_form_score,0.0
bowler_workload_30d,0.0
batsman_workload_30d,0.0
bowler_rest_quality,0.0
batsman_rest_quality,0.0
bowler_days_since_last_match,0.0
bowler_maturity,0.0
venue_evolution_runs,0.0
venue_season_boundary_rate,0.0
venue_evolution_wickets,0.0
is_death_over,0.0
late_in_over,0.0
is_modern_cricket,0.0
venue_season_avg_rpb,0.0
venue_season_rpb_volatility,0.0
wickets_remaining,0.0
bowler_dot_pct_ema_short,0.0
bowler_wicket_rate_ema_short,0.0
bowler_wicket_rate_ema_medium,0.0
batsman_sr_ema_long,0.0
batsman_sr_ema_short,0.0
batsman_sr_ema_medium,0.0
bowler_econ_ema_medium,0.0
bowler_overs_bowled,0.0
bowler_is_fatigued,0.0
momentum_differential,0.0
bowler_dot_pct_ema_medium,0.0
rr_last_5_overs,0.0
rr_last_3_overs,0.0
batsman_is_settled,0.0
dots_last_10_balls,0.0
